,Locality,Locality Latitude,Locality Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
137,Mariendorf,52.44008,13.3900277,Burger Hütte,52.44723922160343,13.385371903606076,Burger Joint
138,Marienfelde,52.4125766,13.3665916,Seven Grill,52.414209,13.364081,Burger Joint
139,Lichtenrade,52.3934559,13.4020397,pauls burger & flammkuchen,52.38711820391449,13.396540184247243,Burger Joint
140,Lichtenrade,52.3934559,13.4020397,Villa 23,52.394221,13.419613,Burger Joint
141,Lichtenrade,52.3934559,13.4020397,BurgerAmt,52.38922301026551,13.418625398174642,Burger Joint
142,Neukölln,52.4811497,13.4353501,Lily Burger Beef & Vegan Grill Express,52.480983,13.436798,Burger Joint
143,Neukölln,52.4811497,13.4353501,Onkel,52.48266362238448,13.434225308859324,Burger Joint
144,Neukölln,52.4811497,13.4353501,Burgerhaus,52.48577117919922,13.426393508911133,Burger Joint
145,Neukölln,52.4811497,13.4353501,Hackbert,52.4782836834271,13.43894695727129,Burger Joint
146,Neukölln,52.4811497,13.4353501,Classic Finest Burger & Pizza,52.482512,13.441473,Burger Joint
147,Neukölln,52.4811497,13.4353501,Musty Burger,52.48111,13.426896,Burger Joint
148,Neukölln,52.4811497,13.4353501,Burger Crew,52.47709,13.438882,Burger Joint
149,Neukölln,52.4811497,13.4353501,Beef Fabrik,52.483712,13.440335,Burger Joint
150,Neukölln,52.4811497,13.4353501,Curry & Burger,52.4835016885018,13.436503245399418,Burger Joint
151,Neukölln,52.4811497,13.4353501,Weser Burger,52.487923,13.4304085,Burger Joint
152,Neukölln,52.4811497,13.4353501,La Burger,52.479630455805776,13.425466653518459,Burger Joint
153,Neukölln,52.4811497,13.4353501,Illegal Burger,52.487938,13.430307,Burger Joint
154,Neukölln,52.4811497,13.4353501,Burger Company,52.486776,13.424846,Burger Joint
155,Neukölln,52.4811497,13.4353501,Burger Queens,52.479237,13.424995,Empanada Restaurant
156,Neukölln,52.4811497,13.4353501,Loveburger,52.479015,13.449099,Burger Joint
157,Neukölln,52.4811497,13.4353501,Berlin Burger International,52.48649725770198,13.430589374143079,Burger Joint
158,Neukölln,52.4811497,13.4353501,burger bunker,52.487631,13.430479,Burger Joint
159,Neukölln,52.4811497,13.4353501,Mario's Patapizza,52.48598193946116,13.430587058426916,Pizza Place
160,Neukölln,52.4811497,13.4353501,Burger Town,52.483543041393034,13.435944583767196,Burger Joint
161,Britz,52.4483324,13.4423401,Private BURGER Hood ^^,52.455797115506044,13.440100982375075,Burger Joint
162,Britz,52.4483324,13.4423401,Big Burger By Mustafa,52.459177,13.447783,Burger Joint
163,Buckow,52.4186619,13.4289504,Prototype Burger,52.423096,13.436943,Burger Joint
164,Rudow,52.4146801,13.4986183,Burger Zimmer,52.418017,13.495456,Burger Joint
165,Gropiusstadt,52.4249493,13.466183,Goldjunge,52.429704,13.454848,Burger Joint
